25	"Libanii Opera Vol III Orationes XXVI-L"
25	"Luciani Opera Tomus 3 Libelli 44-68"
25	"Vitae excellentium imperatorum"
25	"فتوح الشام"
24	"De Vita Caesarum Libri VIII"
24	"Isaeus with and English translation"
24	"Liber Nonus A Constantino Magno Usque ad Phocam Imperatorem (306-602)"
24	"Liber Octavus A Trajano Usque Ad Constantinum Magnum 98-306 P.C."
24	"Lucian Vol IV"
24	"P. Terenti Afri Comoediae"
24	"Plutarch's Lives Volume IV"
24	"Plutarch's Lives Volume V"
24	"Plutarch's Lives Volume VI"
24	"Plutarch's Moralia Vol IV 263D-351B"
24	"Plutarchi Chaeronensis Moralia Vol II"
23	"Luciani Opera Tomus I Libelli 1-25"
23	"Septuaginta: Leges et Historia"
23	"Works Vol 2"
23	"الآثار"
22	"Aristides Volume 2"
22	"Bibliotheca scriptorum Graecorum et Romanorum Teubneriana."
22	"Bibliotheca scriptorum Graecorum et Romanorum Teubneriana;"
22	"Discours Tomus II"
22	"Libanii Opera Vol VII Declamationes XXXI-LI Accedit Gregorii Cyprii Adversus Avari Declamationem Libanianam Antilogia"
22	"Minor Attic orators Volume II"
22	"Patrologiae cursus completus Series Latina Volume 73"
22	"Patrologiae cursus completus sive biblioteca universalis, integra, uniformis, commoda, oeconomica, omnium SS. Patrum, doctorum scriptorumque eccelesiasticorum qui ab aevo apostolico ad usque Innocentii III tempora floruerunt ... Volume 73"
22	"Plutarch's Moralia Vol III 172 A- 263C"
22	"Plutarchi Moralia Volume 3"
22	"Quinti Septimii Florentis Tertulliani Quae Supersunt Omnia Tomus I"
22	"Vitae Patrum"
22	"السير الكبير"
21	"De clementia. English."
21	"Dialogi. English."
21	"L. Annaeus Seneca Minor dialogues: together with the dialogue On clemency"
21	"Opera Vol II"
21	"Plutarch's Moralia Vol XII 920A-999B"
21	"Poetae latini minores Volume V"
21	"Scripta minora"
21	"The comedies of Plautus Vol I"
20	"Aristotelis opera Volumen Secundum Aristoteles Graece ex Recognitione Immanuelis Bekkeri Volumen Alterum"
20	"Comoediae Vol 1-2"
20	"Dialogi"
20	"Dialogorum Libros XII"
20	"Dionysii Halicarnasei Opuscula Volume Prius"
20	"Fragments of The Epic Cycle"
20	"Minor Attic orators Volume I"
20	"Plutarch's Lives Volume IX"
20	"Plutarch's Lives Volume VII"
20	"Plutarch's Lives Volume VIII"
20	"Plutarch's morals Volume III"
20	"Scaenicae Romanorum poesis fragmenta Volumen I Tragicorum Romanorum Fragmenta"
20	"The Greek anthology Vol I Christian Epigrams Book I"
20	"The comedies of Plautus Vol II"
20	"Tragoediae"
20	"مسند ابي حنيفه :::: مسند الامام الاعظم"
19	"Anthologia lyrica Volume III Iamborum Scriptores"
19	"Discours"
19	"Historici Graeci minores Vol I"
19	"Libanii Opera Vol VI Declamationes XIII-XXX Accedit Gregorii Cyprii Adversus Corinthiorum Declamationem Libanianam Antilogia"
19	"M. Cornelii Frontonis et M. Aurelii Imperatoris epistulae L. Veri et T. Antonini Pii et Appiani epistularum reliquiae"
19	"Menandrea ex papyris et membranis vetustissimis Accedunt Duae Tabulae Phototypicae"
19	"Rhetores Latini minores"
19	"The works of Lucian of Samosata complete with exceptions specified in the preface Vol 3"
18	"Aeschyli septem quae supersunt tragoediae"
18	"Appian's Roman history Volume I Books I-Book VIII"
18	"Liber Septimus Ab Augusto Usque Ad Trajanam 27 A.C. -98 P.C."
18	"Liber Sextus Ab Eversione Corinthii ad Caesarem Augustum (146-27 a.C.)"
18	"Luciani Opera, Tomus 2 Tomus 2 Libelli 26-43"
18	"Moral essays Vol 1"
18	"Patrologiae Latinae Volume 94"
18	"Patrologiae cursus completus Series Latina Volume XCIV"
18	"Patrologiae cursus completus sive biblioteca universalis, integra, uniformis, commoda, oeconomica, omnium SS. Patrum, doctorum scriptorumque eccelesiasticorum qui ab aevo apostolico ad usque Innocentii III tempora floruerunt ... Volume 94"
18	"Plutarch's Moralia Vol VII 523C-612B"
18	"Suetonius Volume I"
18	"The theological tractates The Consolation of Philosophy"
18	"Venerabilis Bedae Anglosaxonis presbyteri opera omnia"
18	"Venerabilis Bedae, opera omnia"
18	"السنن الماثوره :::: السنه الماثوره عن رسول الله صلى الله عليه وسلم :::: سنن الشافعي الماثوره عن رسول الله صلى الله عليه وسلم"
18	"الموطأ"
17	"Aeschylus with an English translation Vol I"
17	"Bibliotheca scriptorum graecorum et romanorum Teubneriana. [S.g.]"
17	"De agri cultura"
17	"Flavii Philostrati Opera Volume II"
17	"M. Catonis Praeter librum de re rustica quae extant"
17	"Poetae latini minores Volume II"
17	"Poetarum philosophorum fragmenta"
17	"Quinti Septimii Florentis Tertulliani Quae Supersunt Omnia Tomus II"
17	"S. Thasci Caecili Cypriani Opera omnia Pars III Opera Spuria"
17	"Scolia a Lobone Septem Sapientibus Attributa"
17	"The Orations of Demosthenes pronounced to excite the Athenians against Philip, King of Macedon, and on occasions of public deliberation"
16	"Claudii Claudiani Carmina"
16	"Euclidis Opera omnia Vol VIII"
16	"Lives of the Caesars Books V-Book VIII"
16	"Lyra Graeca being the remains of all the Greek lyrik poets from Eumelus to Timotheus excepting Pindar Volume 1"
16	"Orationes Volume IV"
16	"Orationes Volume V"
16	"Petronius, with an English translation by Michael Heseltine Seneca. Apocolocyntosis, with an English translation by W.H.D. Rouse"
16	"Platonis Opera Tomus I Tetralogia I-II"
16	"Plutarch's Lives Volume XI"
16	"Poetae latini minores Volume I"
16	"Prudentius Vol 1"
16	"Remains of old Latin newly edited and translated Vol 1 Ennius and Caecilius"
16	"S. Thasci Caecili Cypriani Opera omnia"
16	"Scripta quae manserunt omnia Partis II, Vol. II"
16	"The Olynthiac and other public orations of Demosthenes Vol I"
16	"The works of Lucian of Samosata complete with exceptions specified in the preface Vol 2"
16	"Theognis Ps.-Pythagoras. Ps.-Phocylides. Chares. Anonymi aulodia. Fragmentum teliambicum"
15	"Archimedis opera omnia cum commentariis Eutocii Volume II"
15	"Bucolici Graeci"
15	"Corpus agrimensorum Romanorum Vol 1, Part I"
15	"Discours, Tomus I Tomus I"
15	"Opera"
15	"Opera Omnia"
15	"Orationes cum deperditarum fragmentis"
15	"P. Ovidius Naso Vol. I."
15	"Plutarch's Moralia Vol I"
15	"The orations of Marcus Tullius Cicero Vol 2 Three orations on the Agrarian law, the four against Catiline, the orations for Rabirius, Murena, Sulla, Archias, Flaccus, Scaurus, etc"
15	"The works of Lucian of Samosata complete with exceptions specified in the preface Vol 1"
15	"The works of Lucian of Samosata complete with exceptions specified in the preface Vol 4"
15	"Vitae Patrum Sive Historiae Eremiticae Libri Decem Appendix ad Monumenta Sex Priorum Ecclesia Saeculorum Book I"
15	"Works Vol 1"
15	"Xenophontis Opera omnia Volume V Opuscula"
14	"Aeschylus with an English translation Vol II"
14	"Commentum in Horatium Flaccum"
14	"Demosthenes With an English translation Vol IV Private Orations Volume 1 Orations XXVII-XL"
14	"Demosthenis orationes Tomus II-Pars I Vol II-Pars I Orationes XX-XXVI"
14	"Demosthenis orationes Tomus II-Pars II Vol II-Pars II Orationes XXVII-XL"
14	"Demosthenis orationes Tomus II-Part II"
14	"LCL 57"
14	"Libanii Opera Vol II Orationes XII-XXV"
14	"Libanii Opera Vol IV Orationes LI-LXIV"
14	"Loeb classical library 254"
14	"Platonis Opera Tomus IV Tetralogia VIII"
14	"Poetae christiani minores Pars I"
14	"Poetae latini minores Volume IV Anthologia Latina Carmina Vergiliana"
14	"Scripta quae manserunt omnia Partis II Vol. III"
14	"Stoicorum veterum fragmenta Volumen I Zeno et Zenonis Discipuli"
14	"The Greek anthology Vol V Arithmetical Problems, Riddles, Oracles Book XIV"
14	"The Loeb classical library 57"
14	"The Roman history of Appian of Alexandria Vol I The Foreign Wars"
14	"The orations of Marcus Tullius Cicero Vol 3 Orations for his house, Plancius, Sextius, Cælius, Milo, Ligarius, etc"
14	"Works"
14	"المسند :::: مسند الشافعي"
13	"Fragmenta"
13	"Oeuvres complètes d'Hippocrate"
13	"Platonis Opera Tomus V Tetralogia IX, Definitiones, et Spuria"
13	"Poetae latini minores Volume IV"
13	"Sancti Aurelii Augustini Opera Sectio V, Pars III De fide et symbolo. De fide et operibus. De agone christiano. De continentia. De bono coniugali. De Sancta virginitate. De bono viduitatis. De adulterinis coniugiis lib. II. De mendacio. Contra mendacium. De opere monachorum. De divinatione daemonum. De cura pro mortuis gerenda. De patientia"
13	"Scholia in Ciceronis orationes Bobiensia"
13	"The complete Greek drama all the extant tragedies of Aeschylus, Sophocles and Euripides, and the comedies of Aristophanes and Menander, in a variety of translations Vol II"
13	"Tragoediae. Greek."
13	"Œuvres complètes"
13	"الجامع الصغير"
12	"Bibliotheca scriptorum Graecorum et Romanorum Teubneriana. Scriptores Romani."
12	"C. Suetoni Tranquilli opera Vol I"
12	"Claudian Vol II"
12	"Duodecim panegyrici Latini"
12	"Euripidis Fabulae Tomus II"
12	"Euripidis Fabulae Tomus III"
12	"Fabulae Tomus II"
12	"Fabulae Tomus III"
12	"Harper's Classical Library"
12	"Harper's classical library"
12	"Hippocrates Volume I"
12	"Homerica"
12	"Isocrates With an English Translation. Vol I"
12	"L'Organon, la Rhétorique et la Poétique d'Aristote, et l' Isagoge de Porphyre"
12	"Libanii Opera Vol V Declamationes I-XII"
12	"Lives of the Caesars"
12	"Musici scriptores graeci Aristoteles, Euclides, Nicomachus, Bacchius, Gaudentius, Alypius et melodiarum veterum quidquid exstat"
12	"Oppian, Colluthus, Tryphiodorus with an English translation"
12	"Orationes Volume I"
12	"Orationes Volume VI"
12	"P. Terenti Afri Comoediae The comedies of Terence"
12	"Plutarch's Moralia Vol V"
12	"Plutarchi Moralia Vol. 2"
12	"Poetae latini minores Volume III"
12	"Q. Horati Flacci Opera"
12	"Sallust"
12	"Sophocles with an English translation Vol 2"
12	"The Lives of the twelve Caesars"
12	"The Loeb classical library 147"
12	"The Loeb classical library. [Greek authors] No. 209"
12	"The comedies of Terence"
12	"XII panegyrici Latini"
12	"Xenophon's Minor Works"
12	"السير والمغازي :::: المغازي"
11	"Anthologie aus den lyrikern der Griechen Erstes Bandchen Die Elegiker Und Iambographen Enthaltend"
11	"Appendix Vergiliana sive carmina minora Vergilio adtributa"
11	"Aristophanes Comedies"
11	"Bibliotheca Scriptorum Graecorum et Romanorum Tebneriana"
11	"Bibliotheca scriptorum Graecorum et Romanorum Teubneriana. [S. g.]"
11	"Bibliotheca scriptorum Graecorum et Romanorum Teubneriana. [Scriptores Graeci"
11	"Bucolicorum graecorum Theocriti, Bionis, Moschi reliquiae"
11	"Comoediae Tomus I"
11	"Comoediae Tomus II"
11	"Comoedias"
11	"Orationes et fragmenta adivnctis Gorgiae, Antisthenis, Alcidamantis, declamationibvs"
11	"P. Vergili Maronis Opera Volume 4 Appendix Vergiliana"
